,title,category,url,episodes,aired,ended
121,Poppoya-san Nonki Kikanshi,movie,https://anidb.net/anime/6882,1,??.06.1949,??.06.1949
122,Kaeru no Yume,movie,https://anidb.net/anime/6919,1,1918-02-28,1918-02-28
123,Inaba no Kuni no Usagi-san,movie,https://anidb.net/anime/12860,1,??.??.1935,??.??.1935
124,Saiyuuki: Son Gokuu Monogatari,movie,https://anidb.net/anime/6846,1,1926-10-29,1926-10-29
125,Kitsune no Homerun Ou,movie,https://anidb.net/anime/10687,1,??.09.1949,??.09.1949
126,Maabou no Kinoshita Toukichirou,movie,https://anidb.net/anime/6725,1,1938-05-12,1938-05-12
127,Goichi-jiisan,movie,https://anidb.net/anime/12854,1,??.??.1931,??.??.1931
128,Kekkaku Yobou,movie,https://anidb.net/anime/12861,1,??.??.1933,??.??.1933
129,Oyoge ya Oyoge,movie,https://anidb.net/anime/6728,1,??.??.1939,??.??.1939
130,Ousama no Shippo,movie,https://anidb.net/anime/6880,1,??.10.1949,??.10.1949
131,Momotarou,movie,https://anidb.net/anime/5386,1,1918-01-03,1918-01-03
132,Shoujouji no Tanuki-bayashi Ban Danemon,movie,https://anidb.net/anime/6738,1,??.??.1935,??.??.1935
133,Kintarou,movie,https://anidb.net/anime/6920,1,1918-03-16,1918-03-16
134,Doubutsu Dai Yakyuu Sen,movie,https://anidb.net/anime/6878,1,??.12.1949,??.12.1949
135,Nippon Banzai,movie,https://anidb.net/anime/6896,1,1943-05-27,1943-05-27
136,Nansensu Monogatari Daini Hen: Kaizokusen,movie,https://anidb.net/anime/7005,1,??.??.1931,??.??.1931
137,Kobutori,movie,https://anidb.net/anime/6922,1,1918-03-19,1918-03-19
138,Mikanbune,movie,https://anidb.net/anime/6929,1,1927-11-02,1927-11-02
139,Nyan no Urashima,movie,https://anidb.net/anime/6860,1,1939-05-30,1939-05-30
140,Shoujouji no Tanuki-bayashi,movie,https://anidb.net/anime/6744,1,??.??.1933,??.??.1933
141,An Expression,movie,https://anidb.net/anime/12873,1,??.??.1935,??.??.1935
142,Benkei Tai Ushiwaka,movie,https://anidb.net/anime/6859,1,??.07.1939,??.07.1939
143,Saru Kani Gassen (1927),movie,https://anidb.net/anime/12864,1,??.05.1927,??.05.1927
144,Hibari no Yadogae,movie,https://anidb.net/anime/6712,1,1933-01-31,1933-01-31
145,Issunboushi,movie,https://anidb.net/anime/6924,1,1918-03-20,1918-03-20
146,Tora-chan no Kankan Mushi,movie,https://anidb.net/anime/6877,1,??.??.1950,??.??.1950
147,Hinotama Kozou: Sanzoku Taiji,movie,https://anidb.net/anime/6943,1,1935-03-13,1935-03-13
148,Osaru Sankichi: Tatakau Sensuikan,movie,https://anidb.net/anime/6899,1,1943-01-07,1943-01-07
149,Koumori,movie,https://anidb.net/anime/6704,1,??.01.1931,??.01.1931
150,Fuku-chan no Zousan Butai,movie,https://anidb.net/anime/6897,1,1943-01-07,1943-01-07
151,Manga Kamishibai Itazura Tanuki no Maki,movie,https://anidb.net/anime/12870,1,??.04.1933,??.04.1933
152,Nezumi no Rusuban,movie,https://anidb.net/anime/6690,1,??.??.1931,??.??.1931
153,Manguwa Shin Saru Kani Gassen,movie,https://anidb.net/anime/6945,1,1939-04-08,1939-04-08
154,Kobito to Ao Mushi,movie,https://anidb.net/anime/6876,1,??.12.1950,??.12.1950
155,Tarou no Banpei,movie,https://anidb.net/anime/6925,1,1918-03-30,1918-03-30
156,Chagama Ondo,movie,https://anidb.net/anime/6854,1,1935-03-19,1935-03-19
157,Tako no Hone,movie,https://anidb.net/anime/6837,1,1927-02-11,1927-02-11
158,Maabou no Rakkasan Butai,movie,https://anidb.net/anime/6898,1,1943-01-07,1943-01-07
159,Kokoro no Chikara,movie,https://anidb.net/anime/10898,1,??.??.1931,??.??.1931
160,Kaeru San Yuushi,movie,https://anidb.net/anime/6936,1,1933-01-04,1933-01-04
161,Tokechigai,movie,https://anidb.net/anime/6927,1,1918-01-04,1918-01-04
162,Gulliver Funtouki,movie,https://anidb.net/anime/6732,1,??.12.1950,??.12.1950
163,Taa-chan no Kaitei Ryokou,movie,https://anidb.net/anime/6740,1,1935-03-26,1935-03-26
164,Maabou no Muteki Kaigun,movie,https://anidb.net/anime/6861,1,1939-09-27,1939-09-27
165,Kujira,movie,https://anidb.net/anime/6838,1,1927-12-13,1927-12-13
166,Malay Oki Kaisen,movie,https://anidb.net/anime/6900,1,1943-11-26,1943-11-26
167,Issunboushi: Chibi Jo Monogatari,movie,https://anidb.net/anime/6569,1,1935-08-05,1935-08-05
